seq_len,hidden_dim,layers,dropout,lr,avg_mse,avg_mae,avg_smape,avg_dir_acc
30,32,1,0.0,0.001,0.6692269,0.58745253,173.47702,0.47182320441988945
30,32,1,0.0,0.0005,0.66316915,0.5851924,182.54213,0.4773480662983426
30,32,1,0.1,0.001,0.66793025,0.5850964,172.905,0.487292817679558
30,32,1,0.1,0.0005,0.66710377,0.58535016,178.17148,0.46187845303867403
30,32,1,0.2,0.001,0.6685681,0.5862033,174.0715,0.47182320441988956
30,32,1,0.2,0.0005,0.6655551,0.58585376,180.13103,0.47513812154696133
30,32,2,0.0,0.001,0.66643715,0.5861062,174.63094,0.48397790055248613
30,32,2,0.0,0.0005,0.663455,0.58402854,179.47351,0.47845303867403316
30,32,2,0.1,0.001,0.6647223,0.58466387,171.78555,0.4883977900552486
30,32,2,0.1,0.0005,0.6637527,0.5844073,180.57422,0.4685082872928176
30,32,2,0.2,0.001,0.6667481,0.58619624,176.3129,0.4707182320441989
30,32,2,0.2,0.0005,0.6618403,0.5830504,182.36206,0.48397790055248624
30,64,1,0.0,0.001,0.67383647,0.58897007,166.53911,0.48839779005524864
30,64,1,0.0,0.0005,0.6670265,0.58747894,173.96591,0.4751381215469614
30,64,1,0.1,0.001,0.6682633,0.58559895,170.7524,0.48397790055248624
30,64,1,0.1,0.0005,0.6643902,0.5846119,177.82169,0.4662983425414365
30,64,1,0.2,0.001,0.66863567,0.5852871,166.56418,0.4917127071823204
30,64,1,0.2,0.0005,0.6680595,0.5870516,175.30606,0.4784530386740332
30,64,2,0.0,0.001,0.6696231,0.58658,160.52289,0.5193370165745856
30,64,2,0.0,0.0005,0.66497046,0.58585936,172.99031,0.48397790055248613
30,64,2,0.1,0.001,0.6684207,0.5860928,164.54756,0.5027624309392265
30,64,2,0.1,0.0005,0.66694564,0.58591306,171.56717,0.48287292817679556
30,64,2,0.2,0.001,0.66712123,0.58641434,165.49573,0.4850828729281768
30,64,2,0.2,0.0005,0.6635423,0.58515495,177.64488,0.47845303867403316
60,32,1,0.0,0.001,0.71519566,0.6058235,176.65785,0.47682119205298007
60,32,1,0.0,0.0005,0.7155749,0.6040963,184.03764,0.4662251655629139
60,32,1,0.1,0.001,0.717241,0.6056445,177.1367,0.4662251655629139
60,32,1,0.1,0.0005,0.7170094,0.6054574,181.61052,0.47152317880794703
60,32,1,0.2,0.001,0.7163788,0.6054695,178.45255,0.47152317880794703
60,32,1,0.2,0.0005,0.7157248,0.6029998,179.1688,0.4913907284768212
60,32,2,0.0,0.001,0.71421325,0.6041463,173.6764,0.4860927152317881
60,32,2,0.0,0.0005,0.7114903,0.6006982,184.24455,0.5006622516556292
60,32,2,0.1,0.001,0.71269906,0.6035809,173.37906,0.47284768211920525
60,32,2,0.1,0.0005,0.71381074,0.60343343,184.10014,0.4821192052980132
60,32,2,0.2,0.001,0.712612,0.6022704,176.6354,0.48741721854304637
60,32,2,0.2,0.0005,0.7145667,0.603824,181.25253,0.4701986754966888
60,64,1,0.0,0.001,0.7211253,0.6054692,167.95284,0.4821192052980132
60,64,1,0.0,0.0005,0.71505773,0.60504866,180.4102,0.4596026490066225
60,64,1,0.1,0.001,0.71825486,0.60526437,170.50725,0.49403973509933774
60,64,1,0.1,0.0005,0.71541435,0.6039555,177.77335,0.4662251655629139
60,64,1,0.2,0.001,0.7187543,0.6051833,170.35677,0.48741721854304637
60,64,1,0.2,0.0005,0.716472,0.6046333,178.02963,0.4887417218543046
60,64,2,0.0,0.001,0.71560395,0.6030683,163.16809,0.5059602649006623
60,64,2,0.0,0.0005,0.7129873,0.6026178,170.4784,0.4993377483443709
60,64,2,0.1,0.001,0.7130475,0.6030434,163.2296,0.5072847682119205
60,64,2,0.1,0.0005,0.7135685,0.60518485,175.25706,0.4741721854304636
60,64,2,0.2,0.001,0.7149527,0.6034033,161.75546,0.509933774834437
60,64,2,0.2,0.0005,0.71365803,0.60345685,176.57399,0.47284768211920525
30,32,1,0.0,0.001,0.0037832647,0.047790267,9.772802,1.0
30,32,1,0.0,0.0005,0.02934274,0.10724288,28.03894,1.0
30,32,1,0.1,0.001,0.0038983356,0.04842417,9.569521,1.0
30,32,1,0.1,0.0005,0.030543145,0.14157733,34.454872,1.0
30,32,1,0.2,0.001,0.0039033443,0.048019167,9.560374,1.0
30,32,1,0.2,0.0005,0.03111974,0.14427967,34.540848,1.0
30,32,2,0.0,0.001,0.0025600465,0.036385246,7.2435045,1.0
30,32,2,0.0,0.0005,0.008070808,0.06825943,12.936682,1.0
30,32,2,0.1,0.001,0.0028434258,0.039146613,7.7997713,1.0
30,32,2,0.1,0.0005,0.0038136416,0.049045444,9.878751,1.0
30,32,2,0.2,0.001,0.0034401033,0.044341616,8.683145,1.0
30,32,2,0.2,0.0005,0.0035073652,0.04411597,8.452782,1.0
30,64,1,0.0,0.001,0.0030630857,0.040594906,8.065266,1.0
30,64,1,0.0,0.0005,0.0026855287,0.03790372,7.5050364,1.0
30,64,1,0.1,0.001,0.0034129254,0.04424133,8.629711,1.0
30,64,1,0.1,0.0005,0.0035483148,0.044988625,8.918325,1.0
30,64,1,0.2,0.001,0.0029469456,0.040192116,7.852731,1.0
30,64,1,0.2,0.0005,0.002755924,0.03788424,7.558276,1.0
30,64,2,0.0,0.001,0.0033156064,0.043725133,8.580053,1.0
30,64,2,0.0,0.0005,0.0035964444,0.047098678,9.4101925,1.0
30,64,2,0.1,0.001,0.0027883113,0.039029352,7.769193,1.0
30,64,2,0.1,0.0005,0.0027801662,0.038556222,7.6589866,1.0
30,64,2,0.2,0.001,0.0027327756,0.037671555,7.501316,1.0
30,64,2,0.2,0.0005,0.0033770446,0.044999946,9.024705,1.0
60,32,1,0.0,0.001,0.0061334507,0.06433836,12.188655,1.0
60,32,1,0.0,0.0005,0.02277322,0.12496619,30.58781,1.0
60,32,1,0.1,0.001,0.0041021802,0.049026318,9.71587,1.0
60,32,1,0.1,0.0005,0.011837972,0.09143416,18.897766,1.0
60,32,1,0.2,0.001,0.0072294036,0.07205074,13.719162,1.0
60,32,1,0.2,0.0005,0.06913385,0.23794922,65.88841,1.0
60,32,2,0.0,0.001,0.0029161475,0.03913506,7.787921,1.0
60,32,2,0.0,0.0005,0.0049609654,0.055081,10.7414,1.0
60,32,2,0.1,0.001,0.0033555753,0.043225043,8.670502,1.0
60,32,2,0.1,0.0005,0.0043242117,0.051942766,10.634478,1.0
60,32,2,0.2,0.001,0.003620529,0.045984898,9.108545,1.0
60,32,2,0.2,0.0005,0.0040345653,0.048122596,9.47098,1.0
60,64,1,0.0,0.001,0.0030540756,0.040496986,8.059416,1.0
60,64,1,0.0,0.0005,0.0042067636,0.0491961,9.96347,1.0
60,64,1,0.1,0.001,0.0036222164,0.04458461,8.780947,1.0
60,64,1,0.1,0.0005,0.0038305328,0.04586625,9.20971,1.0
60,64,1,0.2,0.001,0.0032600374,0.04183446,8.233599,1.0
60,64,1,0.2,0.0005,0.0042085955,0.04919525,9.638371,1.0
60,64,2,0.0,0.001,0.0031050104,0.041108064,8.213287,1.0
60,64,2,0.0,0.0005,0.0032276772,0.04210909,8.398535,1.0
